Complexity,Loss,Equation
1,0.6990005464414993,"x3"
3,0.6155444959408756,"x2 * -0.5183654631132292"
5,0.00203604766271184,"(x2 * -0.5010015710181567) + x3"
7,0.0012738055513696939,"((x3 * -2.001756697828121) + x2) * -0.500830750463053"
9,0.0011723353887819357,"(x3 + (x2 * -0.49932206147438934)) + (x1 * 0.0026044219293277363)"
11,0.0011061917455919038,"((x2 * -0.49932206147438934) + x3) + ((x1 + 0.08039127108130263) * 0.0026044219293277363)"
13,0.0011013098006188657,"((x2 * -0.49932206147438934) + x3) + (((0.34843442586129053 * 0.3656484034200705) + x1) * 0.0026044219293277363)"
15,0.001034546167941862,"x3 + ((((x1 * (x3 + -0.49653941195178397)) + x1) * 0.003530486846578818) + (x2 * -0.49916746790919797))"
17,0.000892779693017209,"x3 + (((((x2 * x3) + x2) * 0.00020716980138874063) * (x2 + -1.429973204374939)) + (x2 * -0.49868586696374895))"
19,0.0008460380229853029,"x3 + (((((((x3 * 2.0095686191035345) * x2) + x2) * (x2 + -0.9237189152462892)) * -0.00034246945297160145) + x2) * -0.49892269120393107)"
21,0.0007858454282770993,"x3 + (((((((x3 * 2.0095686191035345) * x2) + x2) * (x2 + (x3 * -1.268933618059745))) * -0.00034246945297160145) + x2) * -0.49892269120393107)"
25,0.000699554390060048,"(x2 * -0.4985029864485466) + ((((((((x2 * x3) + -1.0972937759582666) * (x3 + x3)) * x3) + x2) * 0.0002802209930163517) * (x2 + -1.0972937759582666)) + x3)"
27,0.0006995543900600454,"((((((x2 * x3) + -1.0972937759582666) * ((x3 * x3) + (x3 * x3))) + x2) * 0.0002802209930163517) * (x2 + -1.0972937759582666)) + ((x2 * -0.4985029864485466) + x3)"
