Complexity,Loss,Equation
1,0.6990005464414993,"x3"
3,0.6159213616261605,"x2 * -0.5090849222440286"
5,0.002036038424054597,"x3 + (x2 * -0.5010018966009981)"
7,0.0016538852588876124,"x3 + ((x2 + -0.0035878604524348496) * -0.5007809035330317)"
9,0.0013583241085544844,"((x3 + (x3 * -3.0006203592747918)) + x2) * -0.5008128584981665"
11,0.0010926751887702741,"(x3 + (0.00027284884428217923 + (x1 * 0.002537347958565791))) + (x2 * -0.4992253937280947)"
13,0.0010281882303405812,"x3 + ((x2 + ((x1 * -0.0042566107622945045) + (x3 * -0.0015992261023102805))) * -0.4996807613913842)"
15,0.0009809788209917787,"x3 + ((x2 + ((((x3 * 0.45422734099147827) + 0.24850300074161819) + x1) * -0.0033766097561325004)) * -0.4995883867012753)"
17,0.000915638612471133,"((x2 + (((x3 * x2) + ((x1 + 1.182338092873202) * -0.6615950513652014)) * 0.0033875917792760366)) * -0.4994318543901135) + x3"
19,0.0009146886561216003,"x3 + (((x2 * (((x2 * x3) + ((x1 + -0.49951990735297636) * -0.20345802598381113)) * -0.0011412667424386777)) + x2) * -0.4994138149395318)"
21,0.0008173914026853489,"(((x1 * 0.0017258446253695444) + x3) + (x3 * ((x3 * (x1 * (x3 + 1.4706168736470089))) * 0.0034690443001211477))) + (x2 * -0.4993483275000978)"
