Complexity,Loss,Equation
1,0.6990005464414991,"x3"
3,0.6156649656509453,"x2 * -0.5211272177990371"
5,0.0020360386367034747,"(x2 * -0.501001803960032) + x3"
7,0.0014359397221141853,"(x2 + (x3 * -2.0025540304675564)) * -0.500438566406839"
9,0.0011698096273350536,"(x2 * -0.4992286312256455) + (x3 + (x1 * 0.0025604709447376263))"
11,0.0010972173544688984,"((x2 * -0.4993267197772262) + x3) + ((x1 * 0.0025468680845641624) + 0.0003234220141964899)"
13,0.0010295257420056857,"(((x3 + x1) + x1) * 0.0009806687452576103) + ((x2 * -0.49959705808374927) + x3)"
15,0.0010013600241087954,"(((x3 + x1) + (x1 * x3)) * 0.0012693424147477233) + ((x2 * -0.4997222337927356) + x3)"
19,0.0007925777582879718,"((((x3 + (x2 * -0.4987949261587909)) * (x3 + (x2 * -0.4987949261587909))) * 0.0009797809725823749) + x3) + (x2 * -0.4987949261587909)"
21,0.0006907178447475491,"(((((x2 * -0.49887798481083023) + x3) + x3) * 0.0009008815218591805) * ((x2 * -0.49887798481083023) + x3)) + ((x2 * -0.49887798481083023) + x3)"
23,0.0006446735975979512,"(x2 * -0.4987708206496895) + (x3 + ((((x2 * -0.5325068512296045) + x3) * (((x2 * -0.48407773746859295) + (x3 + x3)) * 0.10158524769000142)) * 0.009842157101084138))"
25,0.0005413622514451665,"(x3 + (((x2 * -0.46850125940935505) + x3) * (((x2 * -0.4314018098036858) + (x3 + ((x3 + 0.21196050610001166) * x3))) * 0.0011747490140129465))) + (x2 * -0.4988659208721277)"
