Complexity,Loss,Equation
1,0.8242979024325967,"0.23894767805037265"
3,0.6155201759725748,"x2 * -0.5164411212610102"
5,0.0020360382946569,"(x2 * -0.5010018611553572) + x3"
7,0.001273719914307741,"(x2 * -0.5008245540240612) + (x3 * 1.0025499758829541)"
9,0.0011288924582162597,"((x2 * -0.5006335525331007) + 0.001009291816921899) + (x3 * 1.0020722842980745)"
11,0.0010049692218724532,"(x1 * 0.0022864536578607883) + ((x2 * -0.49947851702040263) + (x3 * 1.0005798597460673))"
13,0.0009182413454657642,"(((x3 + (x1 * 0.0007731780008714192)) + 0.0010987776327645172) * 1.0022106335250394) + (x2 * -0.500266336061986)"
15,0.0009178200771582925,"((x3 + 0.0011038640425593501) * 1.0022288361469536) + (((x2 * -1.474973038927829) + (x1 * 0.0022168113346045237)) * 0.33917642131777853)"
17,0.000917805533794379,"(x3 * 1.0022244167194407) + (((((x1 + -0.026703794553987383) * 0.0022057134122799448) + (x2 * -1.4749978949956182)) * 0.33917115423998595) + 0.001130851389198923)"
19,0.0009151810121396616,"(((0.0022100953454776123 * (x1 + (x3 * x1))) + (0.0025827116045751518 + (x2 * -1.4747302107194744))) * 0.33915328125334854) + (x3 * 1.0023661530268464)"
21,0.0008428231144233872,"(((((x1 + 1.0022088398588813) * (-0.05526575075905515 * (x2 * x3))) * 0.011495724432820697) + (x2 * -0.49972045123267544)) + 0.0010111552079860547) + (x3 * 1.001450896617684)"
23,0.0008425245323478264,"((((((x1 + 1.002514935719103) * -0.1500785318671339) * (x2 * x3)) * 0.012693380005536142) + (x2 * -1.476212911699273)) * 0.3384992255450673) + (0.0010323531332570844 + (x3 * 1.0015173959107955))"
25,0.0008142857261828045,"(((x2 * -1.4754332525081713) + 0.003929729859032789) * 0.33903394427311123) + ((((x1 * 0.3744447354306191) + ((x3 * x3) * (x1 + -0.6969870853644846))) * 0.0018547931394168465) + (x3 * 1.0014173122220913))"
27,0.0006781706608054129,"((((((x1 * -0.0016334725981725405) * (((x2 * -0.2142591935688013) + 2.0860377743525502) * 1.0031324337059928)) + 6.61549160233123e-5) + (x1 * 0.007961509984541341)) * 0.8808965646964536) + (x3 * 1.0008325880848532)) + (x2 * -0.49990341310961567)"
